school,landing_page,sessions,users,conversions,conversion_rate,bounce_rate,avg_session_duration
BCS,/?fbclid=IwT01FWASs1zpleHRuA2FlbQIxMABzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR4Pbwdc0wbmMMg3zgjpxdb_1h9kq8Bs5luly0Rc6CdF2SudPBYzVgEs33gg6g_aem_Gl3QVKprb7rYndUfuVtAEw,1,1,0,0.0,0.0,12.6
BCS,/?fbclid=IwY2xjawSd8mNleHRuA2FlbQIxMABicmlkETFySnlQeElSaVJkbUtSNjNwc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHm5n52MyE44wqp78oXiL757kdtwKiKCqlcXymw31vUpMGFLP9d2i0iOfZ9Bz_aem_O902hRn5DMmRlVrbviH3Uw,1,1,0,0.0,0.0,20.9
BCS,/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeZJjhRyzhe9MliwxlcPfx9_IMgz1jlTXmI9vwHYRAdekzB-XKsdfUakEleY0_aem_B1t1pxgbwcz_sOLQupUpZw,1,1,0,0.0,100.0,0.1
BCS,/?s=%22joyful+learning%2C+innovative+pedagogy+and+whole-child+development%22,1,1,1,100.0,0.0,3.8
BCS,/?s=Merch,1,1,0,0.0,0.0,8.2
BCS,/?s=School+fee,1,1,1,100.0,100.0,164.7
BCS,/?s=bus,1,1,1,100.0,0.0,6.3
BCS,/?s=calendar,1,1,1,100.0,0.0,3.8
BCS,/?s=preparation+course+,1,1,1,100.0,0.0,46.1
BCS,/?ved=2ahUKEwjtmI3L3oaVAxVOxQIHHaogNXoQgU96BAgaEAs,1,1,0,0.0,0.0,58.6
BCS,/a-level-a-launchpad-for-life/,1,1,0,0.0,100.0,0.0
BCS,/about-us/all-blog-articles/,1,1,0,0.0,100.0,0.2
BCS,/about-us/awards-and-accreditations/?eps=AHas8cA5i3XcY1SnpHVG98H7OthtnQ1amLAURhbM4WtBJKZHGdtRPFIe0xoT-pXL6FkYoM8iErvSZOkzYrXqXjvRoEPac4Y6wVcgUqtBHOO3xIKQAcC-C1cWvS8W1H8,1,1,0,0.0,100.0,0.0
BCS,/about-us/awards-and-accreditations/?eps=AHas8cBABrc_mtnJPWfzXkt8yXQCN0It-TiMqv9ot_owTNSCMEWyHHEjmgcX1gzTjbn7S1L5UIEeA4lAS4B12vnUl8D2CL2XNSH202mcuazn_DzF7VQYSid4Scr3Fg,1,1,0,0.0,0.0,137.7
BCS,/about-us/awards-and-accreditations/?eps=AHas8cCnN68bjRFl1z3ncTf0gQM96lVnJXxTza7i2zwh2VyvCHW7luteftkXrfWMdSy5IGE4AD5K4yISLv0qFuUt585xdborXfa6fELvcDZdhBw4glkJ89gDZD8YoQ,1,1,0,0.0,0.0,16.1
BCS,/about-us/awards-and-accreditations/?eps=AHas8cD6yQxd_7mAXe7W_rHIoV6OhgZtka0jut-iYQk_Ef8OwJiwxxY8TcuvOYSJN9qrNRzNl-qbcZQ_a9U-GKNeJ_82CgpkRhns3OyimYru5-XWACIdBfZ9-epF0Hoi,1,1,0,0.0,0.0,37.0
BCS,/about-us/awards-and-accreditations/?eps=AHas8cDIrUK2DV_aTnViCbO6Qw9i1NM0RnQfOCFQnOqwzIkscVkmxghkty6gzFmV5J5qEzCPu8PTlAvaBDatbmhLvZynci39UjD57fDEKu_r8nei-Xhw1u46CXyK1w,1,1,0,0.0,0.0,15.3
BCS,/about-us/awards-and-accreditations/?eps=AHas8cDOnaVAewKY-0fh3o7kKOc18XtTpJ3ELqBtoRC-oudNNw1Gb1L8UaY1o3TL2hsx8KV2z1HO5mnXApShGc3dbxA2k9Cjlz2y16MBjxqtsK5ZWrotOkc8Ac5NQA,1,1,0,0.0,0.0,55.4
BCS,/about-us/awards-and-accreditations/?eps=AHas8cDUTonauu3Hu783nfAOdxsmYOG7Nq0NnbFdlfNZXJW3kNGrObfVXUh1_NCHYhUCWXKPxr3xgoX8HxPErmg5PfNfDW0xOry8e-2NyOhw74VGvbGEwSbvT8ZO1g,1,1,0,0.0,100.0,0.3
BCS,/about-us/awards-and-accreditations/?eps=AHas8cDZn4BZEglaSfdpt6xYpKgEGE53jh3fkaXciPikpN7KJ3nm8CucoU0IVihUIVNr7zw4G7RY3qoOMTrcgPo3dElX6QvmC9pDBDZH18BPwrRDusXmh2A_kDcK3A,1,1,0,0.0,100.0,0.3
BCS,/about-us/school-policies/?preview_id=13984&preview_nonce=0829c1607c&_thumbnail_id=-1&preview=true,1,1,0,0.0,0.0,3794.7
BCS,/admissions/book-a-tour/?eps=AHas8cByc1Icpai-1LLoglOixK6deh1Nlqj_-JgqGb7xid0ehX9luJKTEaAQHyMIY21QpKgXC6C9o5O8XMCsvSw7Om9kA5SEkDGvLdWx2cVtDkxq6mdCOKQyqg,1,1,0,0.0,100.0,0.1
BCS,/admissions/book-a-tour/?eps=AHas8cCDSpXTq5Waq2-HDzbFroLDWeHqom78phM7sa6E2RVSH9vUAdCqPGhofW5D8ImYrYfrYRhxu9nlLS72Pxt6GFoR5K8oXzWGN1noI_32b9gmVMV8fz4,1,1,0,0.0,100.0,0.1
BCS,/admissions/book-a-tour/?eps=AHas8cDcFSWce7I22unD_zjwGqK-Gw9v_NXjaJD_Euzsgi99MBcbQaip8Y_4L9_u9Sp3wyJf8d2mS4k1YBoyRNZDoEf8bw3J9P2XrQ8qybEqCH2RaqI,1,1,0,0.0,0.0,964.4
BCS,/admissions/book-a-tour/?fbclid=IwY2xjawSoGrJleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR43MRaG8-ku3nSzi1JP5Vmhn1NpbFFjVlKBtRpXm-noK-4_UR4yN0w1BLgNgg_aem_Hgxud95xeuB-7KbGoDRNCA,1,1,0,0.0,100.0,7.8
BCS,/admissions/book-a-tour/?fbclid=IwY2xjawSptSNleHRuA2FlbQEwAGFkaWQBqzcCm7LT3HNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR6SXaUs2flYT3y-_sx1FNJYDX6odfPJI5PSHY-eCIJLrBO8fwIFtp9BLwUtwg_aem_lALMnH2g5x0oaW8qJsBYWA,1,1,0,0.0,0.0,16.9
BCS,/admissions/book-a-tour/?fbclid=IwZXh0bgNhZW0BMABhZGlkAas3Apuy09xzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEems6qLpuS0EdyRgAUy5DeraNOlWSwcykyV7qwUczQTUNb-GpU3vspYyq_oKc_aem_Lma7gLvsebhwoHcLBuZO_Q,1,1,0,0.0,0.0,23.9
BCS,/admissions/book-a-tour/?fbclid=IwZXh0bgNhZW0BMABhZGlkAasw8Gdo3xxzcnRjBmFwcF9pZA8yNzUyNTQ2OTI1OTgyNzkAAR7sjsH6uuKKig6Sb74ndzE0ZGZz7y2jQYTrUvikQuOMaQkW57Qy8aMmUjme3w_aem_wd21_LCHDXNyc1FcV9IJZw,1,1,0,0.0,100.0,0.0
BCS,/admissions/book-a-tour/?fbclid=IwZXh0bgNhZW0BMABhZGlkAasw8Gdo3xxzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEes6c1LUxmA6JhxVDkfezB-CkHIJpZpocCc9CEfBk-99XPW6qcTNyLlbLJBek_aem_Zn5kmuPFp5e7qW5JtAo29w,1,1,0,0.0,0.0,14.5
