journey_id,school,touchpoint,total_touchpoints,date,channel_grouping,source,medium,campaign,country,max_stage,max_stage_idx,status,closed_reason
BCS-0015,BCS,1,15,2026-06-17,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0015,BCS,2,15,2026-06-18,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0015,BCS,3,15,2026-06-18,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0015,BCS,4,15,2026-06-18,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0015,BCS,5,15,2026-06-18,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0015,BCS,6,15,2026-06-18,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0015,BCS,7,15,2026-06-18,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0015,BCS,8,15,2026-06-18,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0015,BCS,9,15,2026-06-19,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0015,BCS,10,15,2026-06-19,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0015,BCS,11,15,2026-06-19,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0015,BCS,12,15,2026-06-19,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0015,BCS,13,15,2026-06-19,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0015,BCS,14,15,2026-06-19,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0015,BCS,15,15,2026-06-20,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0016,BCS,1,1,2026-06-14,OrganicSearch,google,organic,(organic),Japan,D1 Lead,0,Active,
BCS-0017,BCS,1,2,2026-06-18,OrganicSearch,bing,organic,(organic),Thailand,D1 Lead,0,Active,
BCS-0017,BCS,2,2,2026-06-19,OrganicSearch,bing,organic,(organic),Thailand,D1 Lead,0,Active,
BCS-0018,BCS,1,2,2026-06-25,OrganicSearch,google,organic,(organic),India,D1 Lead,0,Active,
BCS-0018,BCS,2,2,2026-06-26,OrganicSearch,google,organic,(organic),India,D1 Lead,0,Active,
BCS-0019,BCS,1,15,2026-06-17,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0019,BCS,2,15,2026-06-18,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0019,BCS,3,15,2026-06-18,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0019,BCS,4,15,2026-06-18,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0019,BCS,5,15,2026-06-18,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0019,BCS,6,15,2026-06-18,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0019,BCS,7,15,2026-06-18,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0019,BCS,8,15,2026-06-18,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0019,BCS,9,15,2026-06-19,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0019,BCS,10,15,2026-06-19,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0019,BCS,11,15,2026-06-19,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0019,BCS,12,15,2026-06-19,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0019,BCS,13,15,2026-06-19,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0019,BCS,14,15,2026-06-19,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0019,BCS,15,15,2026-06-20,OrganicSearch,google,organic,(organic),Spain,D1 Lead,0,Active,
BCS-0020,BCS,1,3,2026-06-20,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,Singapore,D1 Lead,0,Active,
BCS-0020,BCS,2,3,2026-06-21,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,Singapore,D1 Lead,0,Active,
BCS-0020,BCS,3,3,2026-06-22,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-Pre-Prep Early Years-2026Feb_AllAges,Singapore,D1 Lead,0,Active,
BCS-0021,BCS,1,3,2026-06-25,PMaxPaidSearch,google,cpc,FPD_PM_Regional_PMAX_UK_PMAX_EN_GENERIC_Generic,United Kingdom,D1 Lead,0,Active,
BCS-0021,BCS,2,3,2026-06-27,OrganicSearch,google,organic,(organic),United Kingdom,D1 Lead,0,Active,
BCS-0021,BCS,3,3,2026-06-28,PMaxPaidSearch,google,cpc,FPD_UK_PMax_AO-2024,United Kingdom,D1 Lead,0,Active,
BCS-0022,BCS,1,1,2026-06-28,PMaxPaidSearch,google,cpc,FPD_PM_Regional_PMAX_HK_PMAX_EN_GENERIC_Generic,Singapore,D1 Lead,0,Active,
BCS-0023,BCS,1,1,2026-06-15,PMaxPaidSearch,google,cpc,FPD_PM_Local_PMAX_SG_PMAX_EN_GENERIC_Generic,Singapore,D1 Lead,0,Active,
BCS-0024,BCS,1,5,2026-06-25,Direct,(direct),(none),(direct),Singapore,D1 Lead,0,Active,
BCS-0024,BCS,2,5,2026-06-25,Direct,(direct),(none),(direct),Singapore,D1 Lead,0,Active,
BCS-0024,BCS,3,5,2026-06-25,Direct,(direct),(none),(direct),Singapore,D1 Lead,0,Active,
BCS-0024,BCS,4,5,2026-06-25,Direct,(direct),(none),(direct),Singapore,D1 Lead,0,Active,
BCS-0024,BCS,5,5,2026-06-25,Direct,(direct),(none),(direct),Singapore,D1 Lead,0,Active,
BCS-0025,BCS,1,3,2026-06-15,PMaxPaidSearch,google,cpc,FPD_PM_Local_PMAX_SG_PMAX_EN_GENERIC_Generic,Singapore,D2 Enquiry,1,Active,
BCS-0025,BCS,2,3,2026-06-22,PMaxPaidSearch,google,cpc,FPD_SG_PMax_AO,Singapore,D2 Enquiry,1,Active,
BCS-0025,BCS,3,3,2026-06-22,PMaxPaidSearch,google,cpc,FPD_SG_PMax_AO,Singapore,D2 Enquiry,1,Active,
BCS-0026,BCS,1,3,2026-06-19,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-SixthFormLaunch-DecJan2025,Singapore,D2 Enquiry,1,Active,
BCS-0026,BCS,2,3,2026-06-19,Social,ig,social,(referral),Singapore,D2 Enquiry,1,Active,
BCS-0026,BCS,3,3,2026-06-19,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-SixthFormLaunch-DecJan2025,Singapore,D2 Enquiry,1,Active,
BCS-0027,BCS,1,2,2026-06-24,OrganicSearch,google,organic,(organic),Switzerland,D2 Enquiry,1,Active,
BCS-0027,BCS,2,2,2026-06-24,OrganicSearch,google,organic,(organic),Switzerland,D2 Enquiry,1,Active,
BCS-0028,BCS,1,3,2026-06-17,Local,google,gmb,google_my_business,Singapore,D2 Enquiry,1,Active,
BCS-0028,BCS,2,3,2026-06-18,Local,google,gmb,google_my_business,Singapore,D2 Enquiry,1,Active,
BCS-0028,BCS,3,3,2026-06-19,Local,google,gmb,google_my_business,Singapore,D2 Enquiry,1,Active,
